,3,5,10,14,25,100,205
2,-0.4184475174670008,-0.32822232134275553,-0.44028113282381964,-0.4148088058537598,-0.4419337788745066,-0.5056156201846129,-0.4701381819555117
10,-0.09283037162563978,-0.08755853208552611,-0.08619591020237438,-0.08234340982529975,-0.09329510469701385,-0.11601455027578478,-0.18433964058863173
25,-0.03955957573000535,-0.04427075588688001,-0.03782473683135512,-0.0420606593575521,-0.03430418864734275,-0.07733411998375694,-0.15516054902838894
100,-0.019125531417707897,-0.018381932604724316,-0.019965904279248603,-0.017099866996872493,-0.01815108839101498,-0.05600985229559452,-0.12629843135015273
